GAME_ID,GAME_DATE,PREDICTED,ACTUAL,ERROR,ABS_ERROR
22400604,2025-01-20,221.74739,210,11.747390747070312,11.747390747070312
22400602,2025-01-20,226.64221,229,-2.3577880859375,2.3577880859375
22400600,2025-01-20,223.0109,203,20.010894775390625,20.010894775390625
22400601,2025-01-20,221.63489,214,7.6348876953125,7.6348876953125
22400608,2025-01-21,220.05498,202,18.054977416992188,18.054977416992188
22400609,2025-01-21,227.735,253,-25.264999389648438,25.264999389648438
22400607,2025-01-21,219.03566,223,-3.9643402099609375,3.9643402099609375
22400606,2025-01-21,233.56328,194,39.56327819824219,39.56327819824219
22400610,2025-01-21,220.66129,199,21.661285400390625,21.661285400390625
22400612,2025-01-22,232.71367,218,14.713668823242188,14.713668823242188
22400620,2025-01-22,216.05756,230,-13.94244384765625,13.94244384765625
22400618,2025-01-22,224.54759,237,-12.452407836914062,12.452407836914062
22400613,2025-01-22,229.32361,192,37.3236083984375,37.3236083984375
22400616,2025-01-22,228.07707,252,-23.922927856445312,23.922927856445312
22400619,2025-01-22,234.20975,240,-5.790252685546875,5.790252685546875
22400615,2025-01-22,229.05717,217,12.057174682617188,12.057174682617188
22400614,2025-01-22,216.96321,229,-12.036788940429688,12.036788940429688
22400626,2025-01-23,233.39998,255,-21.600021362304688,21.600021362304688
22400983,2025-01-23,218.5034,203,15.503402709960938,15.503402709960938
22400623,2025-01-23,240.0392,241,-0.9608001708984375,0.9608001708984375
22400624,2025-01-23,223.97275,221,2.972747802734375,2.972747802734375
22400628,2025-01-23,221.64194,237,-15.358062744140625,15.358062744140625
22400622,2025-01-23,213.89,180,33.88999938964844,33.88999938964844
22400625,2025-01-23,224.64572,236,-11.354278564453125,11.354278564453125
22400629,2025-01-23,223.26508,213,10.26507568359375,10.26507568359375
22400630,2025-01-24,220.17033,199,21.170333862304688,21.170333862304688
22400632,2025-01-24,250.06091,265,-14.9390869140625,14.9390869140625
22400631,2025-01-24,220.46385,261,-40.53614807128906,40.53614807128906
22400646,2025-01-25,222.3659,244,-21.63409423828125,21.63409423828125
22400639,2025-01-25,235.59239,211,24.592391967773438,24.592391967773438
22400645,2025-01-25,220.65552,228,-7.344482421875,7.344482421875
22400635,2025-01-25,224.04018,229,-4.9598236083984375,4.9598236083984375
22400640,2025-01-25,234.44054,266,-31.559463500976562,31.559463500976562
22400641,2025-01-25,230.21094,263,-32.7890625,32.7890625
22400644,2025-01-25,223.42068,226,-2.579315185546875,2.579315185546875
22400634,2025-01-25,226.06078,237,-10.939224243164062,10.939224243164062
22400642,2025-01-25,231.80298,206,25.802978515625,25.802978515625
22400643,2025-01-25,239.6928,228,11.692794799804688,11.692794799804688
22400637,2025-01-25,226.75269,215,11.752685546875,11.752685546875
22400636,2025-01-25,226.10632,203,23.1063232421875,23.1063232421875
22400638,2025-01-25,220.69124,234,-13.308761596679688,13.308761596679688
22400647,2025-01-26,220.46837,226,-5.5316314697265625,5.5316314697265625
22400658,2025-01-27,224.51021,235,-10.489791870117188,10.489791870117188
22400654,2025-01-27,225.61267,217,8.6126708984375,8.6126708984375
22400651,2025-01-27,225.8302,206,19.8302001953125,19.8302001953125
22400657,2025-01-27,218.46309,238,-19.536911010742188,19.536911010742188
22400656,2025-01-27,229.78418,192,37.7841796875,37.7841796875
22400655,2025-01-27,232.96507,250,-17.034927368164062,17.034927368164062
22400653,2025-01-27,234.07211,249,-14.927886962890625,14.927886962890625
22400648,2025-01-27,222.9073,219,3.9073028564453125,3.9073028564453125
22400659,2025-01-27,227.47462,220,7.4746246337890625,7.4746246337890625
22400652,2025-01-27,216.55983,244,-27.440170288085938,27.440170288085938
22400649,2025-01-27,236.30893,201,35.308929443359375,35.308929443359375
22400650,2025-01-27,224.56879,226,-1.43121337890625,1.43121337890625
